"Locus Tag","Product","Pathway Name","Pathway Xref","Pathway Database","Version","ECO code","ECO term","PMID",""
"PA2373","VgrG3","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2672","probable type II secretion system protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2673","probable type II secretion system protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2674","probable type II secretion system protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2675","probable type II secretion system protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2676","probable type II secretion system protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2677","probable type II secretion protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2685","VgrG4","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3095","general secretion pathway protein M","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3096","general secretion pathway protein L","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3097","general secretion pathway protein K","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3098","general secretion pathway protein J","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3099","general secretion pathway protein I","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3100","General secretion pathway outer membrane protein H precursor","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3101","general secretion pathway protein G","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3102","general secretion pathway protein F","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3103","general secretion pathway protein E","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3104","secretion protein XcpP","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3105","general secretion pathway protein D","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3294","VgrG4a","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3486","VgrG4b","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3746","signal recognition particle protein Ffh","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3820","secretion protein SecF","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3821","secretion protein SecD","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3822","conserved hypothetical protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4144","probable outer membrane protein precursor","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4243","secretion protein SecY","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4276","secretion protein SecE","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4403","secretion protein SecA","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4747","secretion protein SecG","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4974","probable outer membrane protein precursor","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5068","translocation protein TatA","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5069","translocation protein TatB","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5070","transport protein TatC","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5128","secretion protein SecB","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5210","probable secretion pathway ATPase","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5266","VgrG6","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5267","secreted protein Hcp","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5568","conserved hypothetical protein","Bacterial secretion system","pae03070","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0357","formamidopyrimidine-DNA glycosylase","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0750","uracil-DNA glycosylase","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1529","DNA ligase","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1686","DNA-3-methyladenine glycosidase II","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2545","exodeoxyribonuclease III","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3495","endonuclease III","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3725","single-stranded-DNA-specific exonuclease RecJ","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4010","hypothetical protein","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4172","probable nuclease","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5147","A / G specific adenine glycosylase","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5332","catabolite repression control protein","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA5493","DNA polymerase I","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0010","DNA-3-methyladenine glycosidase I","Base excision repair","pae03410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0153","protocatechuate 3,4-dioxygenase, beta subunit","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0153","protocatechuate 3,4-dioxygenase, beta subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0154","protocatechuate 3,4-dioxygenase, alpha subunit","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0154","protocatechuate 3,4-dioxygenase, alpha subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0228","beta-ketoadipyl CoA thiolase PcaF","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0228","beta-ketoadipyl CoA thiolase PcaF","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0230","3-carboxy-cis,cis-muconate cycloisomerase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0230","3-carboxy-cis,cis-muconate cycloisomerase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0231","beta-ketoadipate enol-lactone hydrolase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0231","beta-ketoadipate enol-lactone hydrolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0232","gamma-carboxymuconolactone decarboxylase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0232","gamma-carboxymuconolactone decarboxylase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0247","p-hydroxybenzoate hydroxylase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0247","p-hydroxybenzoate hydroxylase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0254","HudA","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0386","probable oxidase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0447","glutaryl-CoA dehydrogenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0480","probable hydrolase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0480","probable hydrolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0655","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0957","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0968","conserved hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0968","conserved hypothetical protein","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1593","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1618","conserved hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1628","probable 3-hydroxyacyl-CoA dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1628","probable 3-hydroxyacyl-CoA dehydrogenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1736","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1737","probable 3-hydroxyacyl-CoA dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1737","probable 3-hydroxyacyl-CoA dehydrogenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1748","probable enoyl-CoA hydratase/isomerase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1821","probable enoyl-CoA hydratase/isomerase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2001","acetyl-CoA acetyltransferase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2083","probable ring-hydroxylating dioxygenase subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2507","catechol 1,2-dioxygenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2507","catechol 1,2-dioxygenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2508","muconolactone delta-isomerase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2508","muconolactone delta-isomerase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2509","muconate cycloisomerase I","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2515","cis-1,2-dihydroxycyclohexa-3,4-diene carboxylate dehydrogenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2516","toluate 1,2-dioxygenase electron transfer component","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2517","toluate 1,2-dioxygenase beta subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2518","toluate 1,2-dioxygenase alpha subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2553","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2815","probable acyl-CoA dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA2940","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3013","fatty-acid oxidation complex beta-subunit","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3013","fatty-acid oxidation complex beta-subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3242","temperature-regulated acyltransferase HtrB1","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3426","probable enoyl CoA-hydratase/isomerase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3454","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3548","alginate o-acetyltransferase AlgI","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3589","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3590","probable hydroxyacyl-CoA dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3590","probable hydroxyacyl-CoA dehydrogenase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3629","alcohol dehydrogenase class III","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3646","UDP-3-O-[3-hydroxylauroyl] glucosamine N-acyltransferase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3925","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3971","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3984","apolipoprotein N-acyltransferase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4019","UbiX","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4486","conserved hypothetical protein","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4785","probable acyl-CoA thiolase","Benzoate degradation","pae00362","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA4830","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5056","poly(3-hydroxyalkanoic acid) synthase 1","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5058","poly(3-hydroxyalkanoic acid) synthase 2","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5188","probable 3-hydroxyacyl-CoA dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5202","hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5221","probable FAD-dependent monooxygenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5223","ubiH protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5237","conserved hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5246","conserved hypothetical protein","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA5386","CdhA, Carnitine dehydrogenase","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0011","acyltransferase HtrB1","Benzoate degradation","00362","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0247","p-hydroxybenzoate hydroxylase","benzoate degradation via hydroxylation","UPA00156","UniPathway","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA4731","aspartate 1-decarboxylase precursor","beta-alanine biosynthesis III","PWY-5155","PseudoCyc","19.5","ECO:0000250","sequence similarity evidence used in manual assertion","12867747",""
"PA0129","Amino acid permease","Beta-alanine catabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0130","3-Oxopropanoate dehydrogenase","Beta-alanine catabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0131","BauB","Beta-alanine catabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0132","Beta-alanine:pyruvate transaminase","Beta-alanine catabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0133","BauR","Beta-alanine catabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0130","3-Oxopropanoate dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0130","3-Oxopropanoate dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0132","Beta-alanine:pyruvate transaminase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0266","delta-aminovalerate aminotransferase","Beta-Alanine metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA0439","probable oxidoreductase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0440","probable oxidoreductase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0441","dihydropyrimidinase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0747","probable aldehyde dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA0747","probable aldehyde dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA0879","probable acyl-CoA dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1027","delta1-Piperideine-6-carboxylate dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1187","probable acyl-CoA dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1535","citronellyl-CoA dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1628","probable 3-hydroxyacyl-CoA dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1687","spermidine synthase","Beta-Alanine metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA1687","spermidine synthase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1687","spermidine synthase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1737","probable 3-hydroxyacyl-CoA dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA1737","probable 3-hydroxyacyl-CoA dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1748","probable enoyl-CoA hydratase/isomerase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA1821","probable enoyl-CoA hydratase/isomerase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA2550","probable acyl-CoA dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","Beta-Alanine metabolism","","PseudoCAP","","ECO:0000037","not_recorded","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3014","fatty-acid oxidation complex alpha-subunit","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3426","probable enoyl CoA-hydratase/isomerase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3570","methylmalonate-semialdehyde dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
"PA3570","methylmalonate-semialdehyde dehydrogenase","beta-Alanine metabolism","pae00410","KEGG","81.0+/01-23, Jan 17","ECO:0000249","sequence similarity evidence used in automatic assertion","",""
"PA3590","probable hydroxyacyl-CoA dehydrogenase","beta-Alanine metabolism","00410","KEGG (InterPro)","InterPro 5.8-49.0","ECO:0000259","match to InterPro signature evidence used in automatic assertion","",""
